Date  ,Open  ,High  ,Low  ,Close      Close price adjusted for splits.   ,Adj Close      Adjusted close price adjusted for splits and dividend and/or capital gain distributions.   ,Volume  
"Dec 19, 2024","100,070.69","102,748.15","95,587.68","97,490.95","97,490.95","97,221,662,392"
"Dec 18, 2024","106,147.30","106,470.61","100,041.54","100,041.54","100,041.54","93,865,656,139"
"Dec 17, 2024","106,030.69","108,268.45","105,291.73","106,140.60","106,140.60","68,589,364,868"
"Dec 16, 2024","104,293.58","107,780.58","103,322.98","106,029.72","106,029.72","91,020,417,816"
"Dec 15, 2024","101,373.53","105,047.54","101,227.03","104,298.70","104,298.70","51,145,914,137"
"Dec 14, 2024","101,451.44","102,618.88","100,634.05","101,372.97","101,372.97","40,422,968,793"
"Dec 13, 2024","100,046.65","101,888.80","99,233.28","101,459.26","101,459.26","56,894,751,583"
"Dec 12, 2024","101,167.80","102,524.91","99,339.95","100,043.00","100,043.00","72,073,983,533"
"Dec 11, 2024","96,656.06","101,913.36","95,747.23","101,173.03","101,173.03","85,391,409,936"
"Dec 10, 2024","97,441.23","98,270.16","94,321.26","96,675.43","96,675.43","104,823,780,634"
"Dec 9, 2024","101,237.06","101,272.51","94,355.91","97,432.72","97,432.72","110,676,473,908"
"Dec 8, 2024","99,921.91","101,399.99","98,771.52","101,236.02","101,236.02","44,125,751,925"
"Dec 7, 2024","99,916.71","100,563.38","99,030.88","99,923.34","99,923.34","44,177,510,897"
"Dec 6, 2024","97,074.23","102,039.88","96,514.88","99,920.71","99,920.71","94,534,772,658"
"Dec 5, 2024","98,741.54","103,900.47","91,998.78","96,593.57","96,593.57","149,218,945,580"
"Dec 4, 2024","95,988.53","99,207.33","94,660.52","98,768.53","98,768.53","77,199,817,112"
"Dec 3, 2024","95,854.59","96,297.20","93,629.56","96,002.16","96,002.16","67,067,810,961"
"Dec 2, 2024","97,276.01","98,152.60","94,482.87","95,865.30","95,865.30","72,680,784,305"
"Dec 1, 2024","96,461.34","97,888.13","95,770.19","97,279.79","97,279.79","36,590,695,296"
"Nov 30, 2024","97,468.81","97,499.34","96,144.22","96,449.05","96,449.05","31,634,227,866"
"Nov 29, 2024","95,653.95","98,693.17","95,407.88","97,461.52","97,461.52","54,968,682,476"
"Nov 28, 2024","95,954.95","96,650.20","94,677.35","95,652.47","95,652.47","52,260,008,261"
"Nov 27, 2024","91,978.14","97,361.18","91,778.66","95,962.53","95,962.53","71,133,452,438"
"Nov 26, 2024","93,087.28","94,991.75","90,770.81","91,985.32","91,985.32","91,656,519,855"
"Nov 25, 2024","98,033.45","98,935.03","92,642.91","93,102.30","93,102.30","80,909,462,490"
"Nov 24, 2024","97,778.09","98,647.18","95,788.08","98,013.82","98,013.82","51,712,020,623"
"Nov 23, 2024","99,006.74","99,014.68","97,232.89","97,777.28","97,777.28","44,414,644,677"
"Nov 22, 2024","98,496.43","99,655.50","97,222.66","98,997.66","98,997.66","78,473,580,551"
"Nov 21, 2024","94,334.64","99,014.22","94,132.60","98,504.73","98,504.73","106,024,505,582"
"Nov 20, 2024","92,341.89","94,902.02","91,619.50","94,339.49","94,339.49","71,730,956,426"
"Nov 19, 2024","90,536.81","94,002.87","90,426.98","92,343.79","92,343.79","74,521,048,295"
"Nov 18, 2024","89,843.72","92,596.79","89,393.59","90,542.64","90,542.64","75,535,775,084"
"Nov 17, 2024","90,558.46","91,433.04","88,741.66","89,845.85","89,845.85","46,350,159,305"
"Nov 16, 2024","91,064.37","91,763.95","90,094.23","90,558.48","90,558.48","44,333,192,814"
"Nov 15, 2024","87,284.18","91,868.74","87,124.90","91,066.01","91,066.01","78,243,109,518"
"Nov 14, 2024","90,574.88","91,765.22","86,682.81","87,250.43","87,250.43","87,616,705,248"
"Nov 13, 2024","87,929.97","93,434.35","86,256.93","90,584.16","90,584.16","123,559,027,869"
"Nov 12, 2024","88,705.56","89,956.88","85,155.11","87,955.81","87,955.81","133,673,285,375"
"Nov 11, 2024","80,471.41","89,604.50","80,283.25","88,701.48","88,701.48","117,966,845,037"
"Nov 10, 2024","76,775.55","81,474.42","76,565.43","80,474.19","80,474.19","82,570,594,495"
"Nov 9, 2024","76,556.19","76,932.77","75,773.79","76,778.87","76,778.87","29,009,480,361"
"Nov 8, 2024","75,902.84","77,252.75","75,648.74","76,545.48","76,545.48","55,176,858,003"
"Nov 7, 2024","75,637.09","76,943.12","74,480.42","75,904.86","75,904.86","63,467,654,989"
"Nov 6, 2024","69,358.50","76,460.16","69,322.03","75,639.08","75,639.08","118,592,653,963"
"Nov 5, 2024","67,811.17","70,522.79","67,458.87","69,359.56","69,359.56","46,046,889,204"
"Nov 4, 2024","68,742.13","69,433.18","66,803.65","67,811.51","67,811.51","41,184,819,348"
"Nov 3, 2024","69,296.38","69,361.66","67,482.52","68,741.12","68,741.12","34,868,307,655"
"Nov 2, 2024","69,486.02","69,867.35","69,033.72","69,289.27","69,289.27","18,184,612,091"
"Nov 1, 2024","70,216.90","71,559.02","68,779.70","69,482.47","69,482.47","49,989,795,365"
"Oct 31, 2024","72,335.05","72,662.31","69,590.50","70,215.19","70,215.19","40,627,912,076"
"Oct 30, 2024","72,715.37","72,905.30","71,411.73","72,339.54","72,339.54","40,646,637,831"
"Oct 29, 2024","69,910.05","73,577.21","69,729.91","72,720.49","72,720.49","58,541,874,402"
"Oct 28, 2024","67,922.67","70,212.27","67,535.13","69,907.76","69,907.76","38,799,856,657"
"Oct 27, 2024","67,023.48","68,221.31","66,847.23","67,929.30","67,929.30","16,721,307,878"
"Oct 26, 2024","66,628.73","67,317.92","66,360.59","67,014.70","67,014.70","19,588,098,156"
"Oct 25, 2024","68,165.30","68,722.16","65,521.79","66,642.41","66,642.41","41,469,984,306"
"Oct 24, 2024","66,653.70","68,798.96","66,454.10","68,161.05","68,161.05","31,414,428,647"
"Oct 23, 2024","67,362.38","67,402.74","65,188.04","66,432.20","66,432.20","32,263,980,353"
"Oct 22, 2024","67,360.70","67,801.58","66,581.37","67,361.41","67,361.41","31,808,472,566"
"Oct 21, 2024","69,002.00","69,462.73","66,829.85","67,367.85","67,367.85","37,498,611,780"
"Oct 20, 2024","68,364.18","69,359.01","68,105.72","69,001.70","69,001.70","18,975,847,518"
"Oct 19, 2024","68,418.98","68,668.01","68,024.64","68,362.73","68,362.73","14,443,497,908"
"Oct 18, 2024","67,419.11","68,969.75","67,177.82","68,418.79","68,418.79","36,857,165,014"
"Oct 17, 2024","67,617.08","67,912.21","66,647.39","67,399.84","67,399.84","32,790,898,511"
"Oct 16, 2024","67,042.46","68,375.29","66,758.73","67,612.72","67,612.72","38,195,189,534"
"Oct 15, 2024","66,050.37","67,881.68","64,809.20","67,041.11","67,041.11","48,863,870,879"
"Oct 14, 2024","62,848.40","66,482.49","62,442.15","66,046.13","66,046.13","43,706,958,056"
"Oct 13, 2024","63,192.95","63,272.65","62,035.64","62,851.38","62,851.38","18,177,529,690"
"Oct 12, 2024","62,444.62","63,448.79","62,443.27","63,193.02","63,193.02","16,744,110,886"
"Oct 11, 2024","60,275.46","63,400.87","60,046.13","62,445.09","62,445.09","30,327,141,594"
"Oct 10, 2024","60,581.93","61,236.72","58,895.21","60,274.50","60,274.50","30,452,813,570"
"Oct 9, 2024","62,131.73","62,508.84","60,314.61","60,582.10","60,582.10","27,670,982,363"
"Oct 8, 2024","62,221.64","63,174.30","61,843.56","62,131.97","62,131.97","28,134,475,157"
"Oct 7, 2024","62,819.11","64,443.71","62,152.55","62,236.66","62,236.66","34,253,562,610"
"Oct 6, 2024","62,084.99","62,959.57","61,833.15","62,818.95","62,818.95","14,776,233,667"
"Oct 5, 2024","62,067.61","62,371.02","61,689.58","62,089.95","62,089.95","13,305,410,749"
"Oct 4, 2024","60,754.63","62,465.99","60,459.94","62,067.48","62,067.48","29,585,472,513"
"Oct 3, 2024","60,632.48","61,469.04","59,878.80","60,759.40","60,759.40","36,106,447,279"
"Oct 2, 2024","60,836.32","62,357.69","59,996.95","60,632.79","60,632.79","40,762,722,398"
"Oct 1, 2024","63,335.61","64,110.98","60,189.28","60,837.01","60,837.01","50,220,923,500"
"Sep 30, 2024","65,634.66","65,635.05","62,873.62","63,329.50","63,329.50","37,112,957,475"
"Sep 29, 2024","65,888.90","66,069.34","65,450.02","65,635.30","65,635.30","14,788,214,575"
"Sep 28, 2024","65,792.18","66,255.53","65,458.04","65,887.65","65,887.65","15,243,637,984"
"Sep 27, 2024","65,180.66","66,480.70","64,852.99","65,790.66","65,790.66","32,058,813,449"
"Sep 26, 2024","63,138.55","65,790.80","62,669.27","65,181.02","65,181.02","36,873,129,847"
"Sep 25, 2024","64,302.59","64,804.50","62,945.38","63,143.14","63,143.14","25,078,377,700"
"Sep 24, 2024","63,326.84","64,695.21","62,737.42","64,301.97","64,301.97","29,938,335,243"
"Sep 23, 2024","63,643.10","64,733.56","62,628.08","63,329.80","63,329.80","31,400,285,425"
"Sep 22, 2024","63,396.80","63,993.42","62,440.73","63,648.71","63,648.71","20,183,348,802"
"Sep 21, 2024","63,184.34","63,543.36","62,783.11","63,394.84","63,394.84","14,408,616,220"
"Sep 20, 2024","62,941.43","64,119.53","62,364.61","63,192.98","63,192.98","35,177,164,222"
"Sep 19, 2024","61,651.16","63,872.44","61,609.87","62,940.46","62,940.46","42,710,252,573"
"Sep 18, 2024","60,309.00","61,664.07","59,218.25","61,649.68","61,649.68","40,990,702,891"
"Sep 17, 2024","58,192.51","61,316.09","57,628.07","60,308.54","60,308.54","38,075,570,118"
"Sep 16, 2024","59,185.23","59,205.51","57,501.34","58,192.51","58,192.51","32,032,822,113"
"Sep 15, 2024","60,000.73","60,381.92","58,696.31","59,182.84","59,182.84","18,120,960,867"
"Sep 14, 2024","60,569.12","60,656.72","59,517.88","60,005.12","60,005.12","16,428,405,496"
"Sep 13, 2024","58,130.32","60,648.02","57,650.11","60,571.30","60,571.30","32,490,528,356"
"Sep 12, 2024","57,343.17","58,534.36","57,330.10","58,127.01","58,127.01","33,835,707,949"
"Sep 11, 2024","57,650.29","57,991.32","55,567.34","57,343.17","57,343.17","37,049,062,672"
"Sep 10, 2024","57,020.10","58,029.98","56,419.41","57,648.71","57,648.71","28,857,630,507"
"Sep 9, 2024","54,851.89","58,041.13","54,598.43","57,019.54","57,019.54","34,618,096,173"
"Sep 8, 2024","54,147.93","55,300.86","53,653.76","54,841.57","54,841.57","18,268,287,531"
"Sep 7, 2024","53,949.09","54,838.14","53,740.07","54,139.69","54,139.69","19,061,486,526"
"Sep 6, 2024","56,160.19","56,976.11","52,598.70","53,948.75","53,948.75","49,361,693,566"
"Sep 5, 2024","57,971.70","58,300.58","55,712.45","56,160.49","56,160.49","31,030,280,656"
"Sep 4, 2024","57,430.35","58,511.57","55,673.16","57,971.54","57,971.54","35,627,680,312"
"Sep 3, 2024","59,106.19","59,815.06","57,425.17","57,431.02","57,431.02","26,666,961,053"
"Sep 2, 2024","57,326.97","59,403.07","57,136.03","59,112.48","59,112.48","27,036,454,524"
"Sep 1, 2024","58,969.80","59,062.07","57,217.82","57,325.49","57,325.49","24,592,449,997"
"Aug 31, 2024","59,117.48","59,432.59","58,768.79","58,969.90","58,969.90","12,403,470,760"
"Aug 30, 2024","59,388.60","59,896.89","57,768.53","59,119.48","59,119.48","32,292,756,405"
"Aug 29, 2024","59,027.47","61,184.08","58,786.23","59,388.18","59,388.18","32,224,990,582"
"Aug 28, 2024","59,507.93","60,236.45","57,890.68","59,027.63","59,027.63","40,289,564,698"
"Aug 27, 2024","62,879.71","63,210.80","58,116.75","59,504.13","59,504.13","39,103,882,198"
"Aug 26, 2024","64,342.23","64,489.71","62,849.56","62,880.66","62,880.66","27,682,040,631"
"Aug 25, 2024","64,176.37","64,996.42","63,833.52","64,333.54","64,333.54","18,827,683,555"
"Aug 24, 2024","64,103.87","64,513.79","63,619.92","64,178.99","64,178.99","21,430,585,163"
"Aug 23, 2024","60,380.95","64,947.06","60,372.05","64,094.36","64,094.36","42,530,509,233"
"Aug 22, 2024","61,168.32","61,408.11","59,815.25","60,381.91","60,381.91","27,625,734,377"
"Aug 21, 2024","59,014.99","61,834.35","58,823.45","61,175.19","61,175.19","32,731,154,072"
"Aug 20, 2024","59,493.45","61,396.33","58,610.88","59,012.79","59,012.79","31,613,400,008"
"Aug 19, 2024","58,480.71","59,612.66","57,864.71","59,493.45","59,493.45","25,911,207,712"
"Aug 18, 2024","59,468.13","60,262.72","58,445.40","58,483.96","58,483.96","17,740,625,837"
"Aug 17, 2024","58,893.53","59,694.67","58,814.83","59,478.97","59,478.97","13,589,684,021"
"Aug 16, 2024","57,560.27","59,847.36","57,110.02","58,894.11","58,894.11","29,350,938,673"
"Aug 15, 2024","58,733.26","59,838.65","56,161.59","57,560.10","57,560.10","35,682,112,440"
"Aug 14, 2024","60,611.05","61,687.76","58,472.88","58,737.27","58,737.27","29,961,696,180"
"Aug 13, 2024","59,356.21","61,572.40","58,506.25","60,609.57","60,609.57","30,327,698,167"
"Aug 12, 2024","58,719.39","60,680.33","57,688.90","59,354.52","59,354.52","37,078,637,820"
"Aug 11, 2024","60,944.89","61,778.66","58,348.82","58,719.48","58,719.48","22,759,754,812"
"Aug 10, 2024","60,881.23","61,464.51","60,287.57","60,945.81","60,945.81","15,745,822,278"
"Aug 9, 2024","61,728.21","61,751.86","59,587.86","60,880.11","60,880.11","33,425,553,115"
"Aug 8, 2024","55,030.03","62,673.77","54,766.73","61,710.14","61,710.14","45,298,472,567"
"Aug 7, 2024","56,040.63","57,726.88","54,620.51","55,027.46","55,027.46","41,637,562,185"
"Aug 6, 2024","53,991.35","57,059.92","53,973.27","56,034.32","56,034.32","49,300,484,106"
"Aug 5, 2024","58,110.30","58,268.83","49,121.24","53,991.46","53,991.46","108,991,085,584"
"Aug 4, 2024","60,676.09","61,062.99","57,210.80","58,116.98","58,116.98","31,758,917,219"
"Aug 3, 2024","61,414.81","62,148.37","59,836.53","60,680.09","60,680.09","31,753,030,589"
"Aug 2, 2024","65,353.50","65,523.22","61,184.89","61,415.07","61,415.07","43,060,875,727"
"Aug 1, 2024","64,625.84","65,593.24","62,248.94","65,357.50","65,357.50","40,975,554,494"
"Jul 31, 2024","66,201.27","66,810.21","64,532.05","64,619.25","64,619.25","31,292,785,994"
"Jul 30, 2024","66,819.05","66,987.67","65,323.19","66,201.02","66,201.02","31,380,492,109"
"Jul 29, 2024","68,259.05","69,987.54","66,532.59","66,819.91","66,819.91","40,780,682,628"
"Jul 28, 2024","67,808.66","68,301.85","67,085.83","68,255.87","68,255.87","18,043,166,945"
"Jul 27, 2024","67,911.81","69,398.51","66,705.22","67,813.34","67,813.34","34,691,905,492"
"Jul 26, 2024","65,771.81","68,207.60","65,743.77","67,912.06","67,912.06","30,488,630,457"
"Jul 25, 2024","65,375.88","66,112.42","63,473.47","65,777.23","65,777.23","38,315,761,670"
"Jul 24, 2024","65,927.86","67,113.98","65,147.00","65,372.13","65,372.13","27,470,942,309"
"Jul 23, 2024","67,584.80","67,779.02","65,484.46","65,927.67","65,927.67","35,605,668,666"
"Jul 22, 2024","68,152.98","68,480.06","66,611.30","67,585.25","67,585.25","42,649,109,453"
"Jul 21, 2024","67,164.91","68,372.91","65,842.30","68,154.52","68,154.52","26,652,190,004"
"Jul 20, 2024","66,709.92","67,610.73","66,299.62","67,163.65","67,163.65","19,029,581,250"
"Jul 19, 2024","63,972.32","67,442.64","63,329.34","66,710.16","66,710.16","37,003,855,410"
"Jul 18, 2024","64,104.74","65,104.66","63,246.16","63,974.07","63,974.07","27,239,305,337"
"Jul 17, 2024","65,091.83","66,066.73","63,896.09","64,118.79","64,118.79","32,525,071,311"
"Jul 16, 2024","64,784.42","65,354.34","62,487.97","65,097.15","65,097.15","41,617,346,768"
"Jul 15, 2024","60,815.46","64,870.15","60,704.93","64,870.15","64,870.15","38,094,526,099"
"Jul 14, 2024","59,225.25","61,329.53","59,225.25","60,787.79","60,787.79","22,223,416,061"
"Jul 13, 2024","57,908.74","59,787.08","57,796.44","59,231.95","59,231.95","17,080,061,806"
"Jul 12, 2024","57,341.20","58,532.55","56,590.18","57,899.46","57,899.46","25,604,805,221"
"Jul 11, 2024","57,729.89","59,299.43","57,120.38","57,344.91","57,344.91","28,707,803,842"
"Jul 10, 2024","58,033.88","59,359.43","57,178.41","57,742.50","57,742.50","26,175,260,526"
"Jul 9, 2024","56,704.60","58,239.20","56,316.88","58,009.23","58,009.23","27,849,512,607"
"Jul 8, 2024","55,849.57","58,131.34","54,321.02","56,705.10","56,705.10","39,766,159,899"
"Jul 7, 2024","58,239.43","58,371.12","55,793.32","55,849.11","55,849.11","20,553,359,505"
"Jul 6, 2024","56,659.07","58,472.55","56,038.96","58,303.54","58,303.54","20,610,320,577"
"Jul 5, 2024","57,022.81","57,497.15","53,717.38","56,662.38","56,662.38","55,417,544,033"
"Jul 4, 2024","60,147.14","60,399.68","56,777.80","56,977.70","56,977.70","41,149,609,230"
"Jul 3, 2024","62,034.33","62,187.70","59,419.39","60,173.92","60,173.92","29,756,701,685"
"Jul 2, 2024","62,844.41","63,203.36","61,752.75","62,029.02","62,029.02","20,151,616,992"
"Jul 1, 2024","62,673.61","63,777.23","62,495.51","62,851.98","62,851.98","25,468,379,421"
"Jun 30, 2024","60,888.45","62,892.83","60,632.95","62,678.29","62,678.29","17,333,226,409"
"Jun 29, 2024","60,319.88","61,097.62","60,300.96","60,887.38","60,887.38","12,652,903,396"
"Jun 28, 2024","61,612.80","62,126.10","59,985.40","60,320.14","60,320.14","24,952,866,877"
"Jun 27, 2024","60,811.23","62,293.86","60,585.33","61,604.80","61,604.80","21,231,745,045"
